EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AverageWorkingHours,rateOfAttrition
1,51,No,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Healthcare Representative,Married,131160,1,11,0,1,6,1,0,0,3,4,2,3,3,6.579565171,1
2,31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0,23,1,6,3,5,1,4,3,2,4,2,4,7.006448718,0
3,32,No,Travel_Frequently,Research & Development,17,4,Other,Male,4,Sales Executive,Married,193280,1,15,3,5,2,5,0,3,2,2,1,3,3,6.527708333,0.2
4,38,No,Non-Travel,Research & Development,2,5,Life Sciences,Male,3,Human Resources,Married,83210,3,11,3,13,5,8,7,5,4,4,3,2,3,6.501978632,0.230769231
5,32,No,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Sales Executive,Single,23420,4,12,2,9,2,6,0,4,4,1,3,3,3,7.544279915,0.444444444
6,46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,4,Research Director,Married,40710,3,13,0,28,5,7,7,7,3,2,2,3,3,9.841056624,0.107142857
7,28,Yes,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2,20,1,5,2,0,0,0,1,3,1,3,4,6.177955128,0.4
8,29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,Male,2,Sales Executive,Married,31430,2,22,3,10,2,0,0,0,1,2,3,3,4,6.28586859,0.2
9,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Laboratory Technician,Married,20440,0,21,0,10,2,9,7,8,2,4,3,3,4,6.401518162,0
10,25,No,Non-Travel,Research & Development,7,4,Medical,Female,4,Laboratory Technician,Divorced,134640,1,13,1,6,2,6,1,5,2,1,3,3,3,6.37207906,0.166666667
11,45,No,Travel_Rarely,Research & Development,17,2,Medical,Male,2,Laboratory Technician,Married,79910,0,13,2,21,2,20,4,10,3,4,3,2,3,7.789384615,0
13,55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,1,Sales Executive,Single,55380,0,17,0,37,2,36,4,13,4,1,3,3,3,8.192395299,0
14,47,Yes,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1,11,2,10,4,10,9,9,1,2,2,2,3,8.49609188,0.1
15,28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Manufacturing Director,Married,25920,1,14,0,5,2,5,0,4,4,4,2,3,3,5.644672009,0.2
16,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Healthcare Representative,Married,53460,4,11,0,7,2,5,0,1,3,4,4,3,3,6.112024573,0.571428571
17,21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Laboratory Technician,Single,42130,1,12,3,3,3,3,1,0,4,3,4,2,3,5.778931624,0.333333333
18,37,No,Non-Travel,Research & Development,1,3,Medical,Male,2,Sales Executive,Divorced,41270,2,13,1,15,2,5,0,2,1,4,3,3,3,10.42124893,0.133333333
19,35,No,Travel_Rarely,Sales,7,4,Life Sciences,Male,1,Sales Representative,Divorced,24380,7,16,0,10,5,7,6,2,2,2,2,2,3,6.210688034,0.7
20,38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,1,Manager,Divorced,68700,1,11,1,8,5,8,7,7,1,1,3,3,3,8.25696688,0.125
21,26,No,Travel_Frequently,Research & Development,1,4,Other,Male,2,Laboratory Technician,Divorced,104470,1,18,0,6,3,6,1,4,3,2,1,3,3,6.773309829,0.166666667
22,50,No,Travel_Rarely,Sales,8,4,Life Sciences,Male,1,Research Scientist,Divorced,96670,3,23,0,28,2,10,1,6,1,2,2,2,4,5.384642094,0.107142857
23,53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,Female,2,Research Scientist,Married,21480,3,11,0,21,2,5,1,3,3,3,2,3,3,7.497266026,0.142857143
25,29,No,Travel_Frequently,Research & Development,16,4,Medical,Male,1,Laboratory Technician,Single,65130,1,11,1,10,2,10,0,9,2,4,2,3,3,6.30200641,0.1
26,55,No,Travel_Rarely,Research & Development,1,4,Other,Female,1,Research Scientist,Married,67990,3,11,0,12,2,10,0,8,2,4,3,3,3,8.677855769,0.25
27,26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,Female,1,Manager,Married,162910,1,22,0,5,3,5,3,3,1,1,3,3,4,10.09050962,0.2
28,37,No,Travel_Rarely,Sales,5,1,Marketing,Male,1,Research Scientist,Single,27050,1,11,0,17,2,17,5,7,4,4,3,3,3,6.902495726,0.058823529
29,44,Yes,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3,14,1,19,2,1,0,0,4,3,1,2,3,10.25982051,0.157894737
30,38,No,Travel_Rarely,Sales,2,3,Marketing,Female,1,Manager,Divorced,44480,9,12,0,10,3,2,1,2,4,4,3,2,3,6.043051282,0.9
